Price,Brand,Model,Year,Color,Fuel_Type,Vehicle_History,Palestinian_Licence,Transmission_Type,Electric_Windows,Engine_Capacity,Kilometers_Driven,Seats,Installment_Payment_Method,Listed_For,Previous_Owners,Radio,Air_Conditioner,Central_Lock,Airbag,Magnesium_Rims,Alert_System,Leather_Seats,Sunroof,Kilometers_Driven_ZScore,Previous_Owners_Ranges,Previous_Owners_Labels
100000,كيا,اوبتيما,2014,أبيض عاجي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,75000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.6291076727095656,[0-2],1
60000,كيا,سورينتو,2007,سكني ,ديزل ,خصوصي ,1,نصف اوتوماتيك ,1,2500,130000.0,8,1,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,-0.3337556155229673,[0-2],1
43500,هونداي,افانتي,2006,سكني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,175154.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,1,-0.09127694661017348,[0-2],1
5500,فيات,127,1982,بيج ,بنزين ,خصوصي ,1,عادي ,0,906,844862.0,5,1,للبيع فقط ,4,1,1,0,0,0,0,1,0,3.505080062741142,[3-4],2
54000,بيجو,208,2014,فضي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,38000.0,5,0,للبيع فقط ,0,0,1,1,1,1,1,0,0,-0.8277990566350953,[0-2],1
205000,بي,ام,2015,أسود ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,181118.0,6,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.05925004353633943,[0-2],1
65000,اوبل,كورسا,2015,بترولي ,بنزين ,خصوصي ,1,عادي ,1,1400,123456.0,5,1,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.3688971402907691,[0-2],1
230000,مرسيدس,C200,2014,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,50000.0,5,1,للبيع فقط ,1,1,1,1,1,1,1,1,1,-0.7633586077943829,[0-2],1
59000,فورد,فيستا,2014,أسود ميتالك ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,92728.0,5,0,للبيع فقط ,0,1,1,1,1,0,1,0,0,-0.5339076496222198,[0-2],1
84000,نيسان,باترول,2003,أبيض ,بنزين ,خصوصي ,1,عادي ,1,4500,56000.0,8,1,للبيع فقط ,2,1,1,1,1,1,1,1,0,-0.7311383833740268,[0-2],1
75000,فورد,ترانزيت,2005,أبيض عاجي ,ديزل ,خصوصي ,1,عادي ,1,2500,460000.0,8,1,للبيع أو التبديل ,1,1,1,1,1,0,1,0,0,1.4383567275966223,[0-2],1
39000,بيجو,206+,2012,فضي ,بنزين ,خصوصي ,1,عادي ,1,1400,113335.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,0,0,-0.42324728885050655,[0-2],1
73000,سكودا,فابيا,2016,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,45000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,0,0,-0.7902087948113464,[0-2],1
55000,سكودا,فابيا,2012,أسود ميتالك ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,113335.0,5,0,للبيع فقط ,1,1,1,0,0,1,0,0,0,-0.42324728885050655,[0-2],1
66000,كيا,برايد,2014,فيراني ,ديزل ,خصوصي ,1,عادي ,1,1400,79000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,0,-0.6076275230959948,[0-2],1
55000,بيجو,بارتنر,2011,أحمر ,ديزل ,خصوصي ,1,عادي ,1,1600,271677.0,5,0,للبيع فقط ,1,1,1,1,1,0,0,0,0,0.42705517367749973,[0-2],1
100000,فولكسفاجن,كادي,2014,سكني ,ديزل ,خصوصي ,1,عادي ,1,1600,150000.0,7,1,للبيع أو التبديل ,0,1,1,1,0,0,0,0,0,-0.22635486745511335,[0-2],1
2600,هوندا,اكورد,1997,ذهبي ,بنزين ,خصوصي ,0,اوتوماتيك ,1,1800,210000.0,5,0,للبيع فقط ,3,1,1,1,1,1,0,1,1,0.09584737674844841,[3-4],2
1800,اوبل,اسكونا,1967,أزرق ,بنزين ,خصوصي ,1,عادي ,0,1200,1000.0,5,1,للبيع فقط ,2,1,0,0,0,1,0,0,0,-1.026490440560625,[0-2],1
77000,هونداي,سانتافيه,2008,أزرق سماوي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2200,20000.0,7,0,للبيع فقط ,3,1,1,1,1,0,1,1,1,-0.9244597298961638,[3-4],2
20000,هونداي,الانترا,1999,أبيض ,بنزين ,خصوصي ,1,عادي ,1,1600,247276.0,5,0,للبيع فقط ,2,1,0,1,1,1,0,1,0,0.29602089099731455,[0-2],1
61000,هونداي,i30,2010,رمادي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,113000.0,5,1,للبيع فقط ,2,1,1,0,1,1,1,1,0,-0.4250462513806431,[0-2],1
47000,فورد,فيستا,2014,أزرق ,بنزين ,خصوصي ,1,عادي ,1,1250,33000.0,5,0,للتبديل فقط ,0,1,1,1,1,0,1,0,0,-0.8546492436520587,[0-2],1
93000,هونداي,توسان,2014,فضي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,203758.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,0.0623276032764712,[0-2],1
71000,سكودا,رابيد,2014,سكني ,ديزل ,خصوصي ,1,عادي ,1,1600,203758.0,5,0,للبيع فقط ,0,1,1,0,0,0,1,0,0,0.0623276032764712,[0-2],1
