سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,مسجل,CD,مُكيّف,إغلاق مركزي,وسادة هوائية,جنطات مغنيسيوم,جهاز إنذار,فرش جلد,فتحة سقف
100000,كيا,اوبتيما,2014,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,75000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,1
60000,كيا,سورينتو,2007,سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500,130000.0,8,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
43500,هونداي,افانتي,2006,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,175154.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
5500,فيات,127,1982,بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,906,844862.0,5,إمكانية التقسيط ,للبيع فقط ,4,1,1,1,0,0,0,0,1,0
54000,بيجو,208,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,38000.0,5,نقدا فقط ,للبيع فقط ,0,0,0,1,1,1,1,1,0,0
205000,بي,ام,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,181118.0,6,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,1
65000,اوبل,كورسا,2015,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,123456.0,5,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,0
230000,مرسيدس,C200,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,50000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
59000,فورد,فيستا,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,92728.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,0,1,0,0
84000,نيسان,باترول,2003,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500,56000.0,8,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
75000,فورد,ترانزيت,2005,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500,460000.0,8,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,0,1,0,0
39000,بيجو,206+,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,113335.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,0
73000,سكودا,فابيا,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,45000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,0
30000,فيات,1998,1998,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,70000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,1,1,1,0,1,0,0
55000,سكودا,فابيا,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,113335.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,0,0,1,0,0,0
66000,كيا,برايد,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,79000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
55000,بيجو,بارتنر,2011,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,271677.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,0,0,0
100000,فولكسفاجن,كادي,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,0,0,0,0,0
