سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
100000,كيا,اوبتيما,2014,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,75000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة بحالة ممتازة، جميع الاضافات وفتحة سقف بانوراما لون أسود.|السعر 100 ألف شيكل، يشمل تأمين شامل 9 شهور وترخيص 9 شهور.
60000,كيا,سورينتو,2007,سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500 ,130000 ,7+1 ,إمكانية التقسيط ,للبيع أو التبديل ,2 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|الجب ٤*٤|مرخص ومأمن جديد|وصلة جر|كاوشوك جديد|ماتور بصحة ممتازة|يوجد للمعنيين عرباي مرخصة ومأمنة بتركب عالجب فيها هاند بريك|سعر العرباي ٥٠٠٠ شيقل للمعني
43500,هونداي,افانتي,2006,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة نخب افحص وين بدك|تمام متل اللي بالصورة|جير ماتور الف الف|كل الاضافات ما عدا الفتحة|صالون مرتب وجميل|وربا يحط البركة لصاحب النصيب|الاتصال للمعنين
5500,فيات,127,1982,بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,906 ,شغال ,4+1  ,إمكانية التقسيط ,للبيع فقط ,00  ,مُكيّف|مسجل CD|فرش جديد وحديث متور نظيف من سياره ضفه غير مسجل بالرخصه. سياره 5 أبواب .شصي نظيف.ترخيص منتهي من شهر ونصف قطاره وسريعة.
54000,بيجو,208,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,38000 ,4+1 ,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|جنطات مغنيسيوم|وسادة حماية هوائية|السيارة ما شاء الله عليها ولا نكشة موديل 2014 تسيير شهر 5 في 2015| دهان شركة |جنطات مغنيسوم |حساسات خلفية|بتحكم ستيرنج |تثبيت سرعة| كشافات|طارت ستيرنج سبورت|شاشة لمس|مري عالكهربا شفط|غمازات على المري
205000,بي,ام,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,5+1 ,نقدا فقط ,للبيع فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|بي ام دبليو X3|(موديل 2015 )|ماتور 2000 توين تيربو سولار - غيار أوتوماتيك ب 8 سرعات - حساسات أمامية وخلفية - جنط 18انش - تحكم ستيرنغ - مرايا كهربائية - فتحة سقف بانوراما - هوك - كشافات أمامية وخلفية - مقاعد كهربائية - شاشة داخلية - ستائر جانبية - ثلاجة - كراسي كهربائية - لون مميز جدا -|للاستفسار الاتصال على الأرقام التالية:|0599997352/ 0595514014 / 0598109851
65000,اوبل,كورسا,2015,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,١٢٣٤٥٦ ,٤+١ ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|اوبل كورسا ٢٠١٥ترخيص٢٠١٥سيارة ترخيص وتامين شاملvib السيارة بالصلاة عالنبي امكانية دفع دفعة ٢٠٠٠٠ وتقسيط باقي المبلغ على ١٥شيك البيع بسبب التجديد
230000,مرسيدس,C200,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|فل اضافات|فتحه سقف بالنوراما|Kit Amg|ليدات امامي وخلفي|حساسات امامي وخلفي|رادار اماميه|كراسي كهرباء|فرش جلد مميز عنابي|ماتور 2000سبعه غيار|مفتاحين شركه|ترخيص وتأمين شامل سنه|جنط مغنيسيوم Amg
59000,فورد,فيستا,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة جديدة وعلى الفحص|ترخيص 2014|الدفع نقداا والرجاء عدم الاحراج
84000,نيسان,باترول,2003,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500 ,56000 ,8 ,إمكانية التقسيط ,للبيع فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|جديد
75000,فورد,ترانزيت,2005,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500 ,460000 ,7+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السياره حلوه مشالله عنها والصوره بتحكي|مطورها 2500 في قوة 115 حصان + قيرها الف الف مشالله عنها يعني في السحب مشالله عنها قوية|السيارة اصل خصوصي يعني ما اشتغلت عمومي|كواشيك جديد|افحص وين ما بدك|فيها ترخيص لسنه|وتامين شامل لسنه|السعر على الكاش بختلف عن التقسيط في فرقيه في السعر|واذا معني هذا رقمي|جوال0595471978|اسرائيلي0532056050
39000,بيجو,206+,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,null,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|السيارة بحالة ممتازة مؤمنة ومرخصة
